,alpha_1e-15,alpha_1e-10,alpha_1e-08,alpha_1e-05,alpha_0.0001,alpha_0.001,alpha_0.01,alpha_1,alpha_5,alpha_10
rss,1.48870407148501,1.4887042139986753,1.4887183971895714,1.4955420606843477,1.596910335267509,2.142381476968459,3.8199670807954114,37.04254993557908,37.04254993557908,37.04254993557908
intercept,0.2622573633123841,0.2622497395086061,0.26149349121061055,0.23533461522143698,1.0018648529451912,1.2611724869560883,1.7224292326546957,-0.0009214524530271643,-0.0009214524530271643,-0.0009214524530271643
coef_x_1,0.86300509735561,0.8630192113232376,0.8644189326925696,1.0029509938014742,0.0913213536316558,-0.0,-0.5547231509980419,-0.0,-0.0,-0.0
coef_x_2,-0.1728016520707139,-0.17280943479736846,-0.17358096491071368,-0.29869309085527,-0.0,-0.1281122278416201,-0.0,-0.0,-0.0,-0.0
coef_x_3,-0.05203396845381288,-0.05203304319240123,-0.05194159339940669,-0.02442610533394505,-0.0465446772345153,-0.0,-0.0,-0.0,-0.0,-0.0
coef_x_4,-0.002815352627342417,-0.002815097058671271,-0.00278959953748219,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
coef_x_5,0.0007030388395946761,0.0007030021954367096,0.0006993362957308343,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
coef_x_6,0.0002292378390797492,0.00022924159689379834,0.00022961434492979553,0.0001973092554664381,0.0,0.0,-0.0,-0.0,-0.0,-0.0
coef_x_7,3.9123935372076416e-05,3.912302504378735e-05,3.9033029993962145e-05,3.1916196114740005e-05,2.4071127651543657e-05,0.0,-0.0,-0.0,-0.0,-0.0
coef_x_8,4.3340845081590066e-06,4.333721316241066e-06,4.297782735354529e-06,0.0,7.225554915223394e-06,0.0,-0.0,-0.0,-0.0,-0.0
coef_x_9,1.3778217832850902e-07,1.3770180049858764e-07,1.2974621935589114e-07,0.0,0.0,2.126839864346846e-09,0.0,-0.0,-0.0,-0.0
coef_x_10,-8.225645922645033e-08,-8.222363099890899e-08,-7.897253825214628e-08,0.0,0.0,9.849327330594349e-08,0.0,-0.0,-0.0,-0.0
coef_x_11,-2.8023560423377132e-08,-2.8024494015693716e-08,-2.8117117397997502e-08,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
coef_x_12,-5.780430726295134e-09,-5.780462936567155e-09,-5.783656471114872e-09,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
coef_x_13,-8.03866592713586e-10,-8.038158417665548e-10,-7.987924098733705e-10,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
coef_x_14,-2.456364205453497e-11,-2.4542055393169282e-11,-2.2405069983092164e-11,-4.286888212374718e-11,-0.0,0.0,0.0,-0.0,-0.0,-0.0
coef_x_15,3.3051674900543806e-11,3.3045836026323135e-11,3.2467815008626115e-11,-3.098191423048093e-11,-4.092585895267862e-11,0.0,0.0,-0.0,-0.0,-0.0
